,Befolkning,Total Omsättning,Omsättning per Invånare,Antal Bankomater,Befolknigstäthet,Genomsnittlig Ålder,Antal Transaktioner,Antal Transaktioner Per Bankomat,Genomsnittlig Transaktionsstorlek,Antal Invånare Per Bankomat,Utrikesfödda,Andel utrikesfödda
Ockelbo,5655,18126138,1616.6730288976098,2,5.5,49,7438,3719.0,2436.9639688088196,2827.5,810,0.14323607427055704
Ockelbo,5545,18126138,1616.6730288976098,2,5.5,49,7438,3719.0,2436.9639688088196,2772.5,675,0.12173128944995491
Ockelbo,5522,18126138,1616.6730288976098,2,5.4,49,7438,3719.0,2436.9639688088196,2761.0,536,0.0970662803332126
Ockelbo,5646,18126138,1616.6730288976098,2,5.5,49,7438,3719.0,2436.9639688088196,2823.0,810,0.1434643995749203
Ockelbo,5542,18126138,1616.6730288976098,2,5.5,49,7438,3719.0,2436.9639688088196,2771.0,675,0.1217971851317214
Ockelbo,5649,18126138,1616.6730288976098,2,5.5,49,7438,3719.0,2436.9639688088196,2824.5,797,0.1410869180385909
Ockelbo,5575,18126138,1616.6730288976098,2,5.5,49,7438,3719.0,2436.9639688088196,2787.5,752,0.1348878923766816
Ockelbo,5612,18126138,1616.6730288976098,2,5.5,49,7438,3719.0,2436.9639688088196,2806.0,797,0.14201710620099786
Ockelbo,5573,18126138,1616.6730288976098,2,5.5,49,7438,3719.0,2436.9639688088196,2786.5,743,0.13332137089538848
Ockelbo,5605,18126138,1616.6730288976098,2,5.5,49,7438,3719.0,2436.9639688088196,2802.5,743,0.13256021409455843
Ockelbo,5653,18126138,1616.6730288976098,2,5.5,49,7438,3719.0,2436.9639688088196,2826.5,797,0.14098708650274192
Ockelbo,5628,18126138,1616.6730288976098,2,5.5,49,7438,3719.0,2436.9639688088196,2814.0,752,0.13361762615493958
Ockelbo,5641,18126138,1616.6730288976098,2,5.5,49,7438,3719.0,2436.9639688088196,2820.5,762,0.1350824321928736
Ockelbo,5515,18126138,1616.6730288976098,2,5.4,49,7438,3719.0,2436.9639688088196,2757.5,536,0.0971894832275612
Ockelbo,5571,18126138,1616.6730288976098,2,5.5,49,7438,3719.0,2436.9639688088196,2785.5,762,0.1367797522886376
